gender,hourly_rate (USD),client_satisfaction,is_active
f,100,,0
FEMALE,USD 100,84%,1
male,50,71%,N
F,$40,90%,N
female,30,83%,0
female,$30,,False
m,USD 75,94%,0
male,USD 40,94%,False
male,,76%,True
MALE,$50,,1
m,40,77%,yes
FEMALE,,86%,Y
Female,,86%,0
MALE,USD 75,93%,1
MALE,75,70%,1
m,$30,69%,0
Female,$30,60%,False
M,,87%,
Male,USD 50,75%,N
Male,USD 100,68%,yes
Male,50,65%,False
m,,69%,N
m,USD 30,,N
female,$50,100%,1
f,75,92,
FEMALE,USD 30,70%,1
female,$20,89%,True
Female,,86%,Y
female,30,62%,0
FEMALE,USD 75,,0
Male,,,yes
Male,USD 100,68%,N
M,20,76%,True
male,40,82,yes
FEMALE,75,81%,yes
female,$20,,0
f,40,63%,0
F,40,67%,N
F,50,,yes
Male,$20,80%,0
Female,USD 50,,no
Female,30,84%,1
Female,$50,,no
male,20,63%,True
Female,20,80%,False
male,$75,74%,1
Female,USD 30,85%,1
male,50,77%,N
F,20,,0
m,20,63%,1
FEMALE,75,79%,True
male,50,,0
Male,75,68%,
m,30,68%,0
f,100,72%,True
m,,65%,yes
f,50,76%,False
Male,USD 40,90%,True
FEMALE,75,65%,1
Female,40,63%,0
F,$75,,True
Male,75,,0
Female,$20,93%,yes
f,USD 50,70%,no
F,,83%,Y
FEMALE,40,64,1
Female,USD 75,100%,N
FEMALE,$40,,True
m,100,,False
FEMALE,$20,71%,no
f,,84%,yes
M,USD 50,,False
MALE,$100,69%,yes
Male,,88,False
M,$100,,0
Male,30,96%,True
male,USD 75,96,1
F,USD 40,,N
f,,89%,1
MALE,$100,,False
Female,100,63%,0
f,USD 40,81,
Male,40,74%,N
male,$75,72%,False
Male,$40,,True
female,100,85%,Y
M,$75,,N
f,75,61%,False
Male,100,,False
m,$20,86%,0
male,USD 100,97%,yes
Female,50,63%,1
male,USD 100,97%,Y
M,USD 30,81%,yes
f,20,69%,0
FEMALE,20,64%,Y
f,50,77%,N
Male,20,96,0
MALE,$20,74%,no
m,50,89%,False
m,,64%,1
f,$30,64,0
f,100,73%,1
f,$50,68%,yes
MALE,$30,88%,no
FEMALE,$40,77%,0
m,,,1
F,40,72%,1
F,20,60%,Y
FEMALE,$30,72,
MALE,30,92%,N
FEMALE,USD 50,,1
f,USD 75,92%,
male,$30,,True
Male,USD 20,,
female,$30,86%,0
Female,USD 40,68%,1
MALE,USD 20,62%,1
F,20,,False
male,30,82%,Y
female,75,,1
Female,$40,93,False
MALE,USD 50,64%,Y
f,$50,,
male,,96%,N
Male,,83%,Y
male,$100,64%,yes
male,40,70%,0
m,20,65%,N
Male,40,67%,
f,USD 100,93,no
FEMALE,50,60%,N
MALE,100,62%,N
FEMALE,,70%,
Female,$100,75%,Y
MALE,75,70%,no
female,USD 50,84%,1
F,USD 40,83,0
male,50,,N
m,50,88%,False
m,50,81%,yes
female,USD 20,80%,Y
male,75,67%,1
m,$20,82%,N
m,USD 100,78,True
FEMALE,$40,81%,False
FEMALE,,74%,True
M,30,88%,N
male,40,90%,0
FEMALE,$40,,False
M,USD 40,,
m,20,93%,no
female,100,,1
Female,$75,71%,no
Male,$40,95%,1
M,100,80,0
FEMALE,$20,,N
Male,100,62%,0
male,$50,95%,False
Female,40,79%,0
female,40,62%,no
m,$30,68%,no
M,USD 75,,no
Male,USD 75,80%,0
MALE,40,92%,
female,USD 75,65%,1
m,40,87%,1
FEMALE,75,70%,no
MALE,40,87,no
MALE,20,72%,N
F,40,80%,N
Male,20,66%,0
f,USD 40,,1
